Date,Open,High,Low,Close,Volume
2022-01-10,1.3592,1.36042,1.35326,1.35803,51556140625.0
2022-01-11,1.35804,1.36384,1.35618,1.36334,58021578125.0
2022-01-12,1.36333,1.3715,1.36213,1.37067,52480308593.75
2022-01-13,1.37069,1.37492,1.37015,1.3714,54189218750.0
2022-01-14,1.37138,1.37433,1.36538,1.3683,65805617187.5
2022-01-16,1.36822,1.36837,1.36663,1.36735,3546929931.6406
2022-01-17,1.36736,1.36904,1.3638,1.36481,47752843750.0
2022-01-18,1.36481,1.3662,1.35733,1.36002,74553390625.0
2022-01-19,1.36003,1.36493,1.35883,1.36095,67795132812.5
2022-01-20,1.361,1.36622,1.35872,1.35975,67900476562.5
2022-01-21,1.35974,1.36026,1.35461,1.35565,74743367187.5
2022-01-23,1.35597,1.35598,1.3547,1.35555,2463459960.9375
2022-01-24,1.35554,1.35659,1.34406,1.34887,97737953125.0
2022-01-25,1.34887,1.3519,1.34367,1.35102,89772765625.0
2022-01-26,1.35103,1.35254,1.3445,1.34678,105967859375.0
2022-01-27,1.34677,1.34679,1.33585,1.33882,110734093750.0
2022-01-28,1.33881,1.34334,1.33655,1.34052,100412937500.0
2022-01-30,1.34023,1.34101,1.33878,1.3403,2075135009.7656
2022-01-31,1.34031,1.34608,1.33935,1.3445,84359601562.5
2022-02-01,1.34457,1.35285,1.34347,1.35253,74217937500.0
2022-02-02,1.35254,1.35879,1.35172,1.35646,70673289062.5
2022-02-03,1.35649,1.36283,1.35385,1.35983,111637687500.0
2022-02-04,1.35984,1.36155,1.35052,1.3535,107031429687.5
2022-02-06,1.3551,1.35537,1.35308,1.35335,1820959960.9375
2022-02-07,1.35336,1.35514,1.34908,1.35375,94767117187.5
2022-02-08,1.35376,1.35647,1.35081,1.35477,76227843750.0
2022-02-09,1.35476,1.35898,1.35272,1.35334,54035671875.0
2022-02-10,1.35334,1.36443,1.35236,1.35499,104623359375.0
2022-02-11,1.35498,1.361,1.35145,1.35694,122364421875.0
2022-02-13,1.3559,1.35776,1.35538,1.35696,6158488281.25
